date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:48	33028/33028	---M-Z	200	added ('OK')	text/html	etag:%2246755761175010e825a1cfbdab11574d-ssl-df%22	https://kalvin.netlify.com/index-particles3.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index-particles3.html	(from )
15:38:49	2785/2785	---M--	404	error ('Not%20Found')	text/html	etag:1532291161-ssl	https://kalvin.netlify.com/robots.txt		(from )
15:38:50	7406/7406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22611c4e64926943b573ff7e1ca18afe8e-ssl%22	https://kalvin.netlify.com/images/favicon.ico	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/favicon.ico	(from https://kalvin.netlify.com/index-particles3.html)
15:38:51	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%22f39f5a728c417e85499ac1451e48241d-ssl-df%22	https://kalvin.netlify.com/css/font-awesome.min.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/font-awesome.min.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:52	216616/216616	---M-Z	200	added ('OK')	text/css	etag:%22d98e244fcdd2c733d20233db871af295-ssl-df%22	https://kalvin.netlify.com/css/bootstrap.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/bootstrap.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:53	3228/3228	---M-Z	200	added ('OK')	text/css	etag:%2286799a26178d2a1a383c56a28730c19f-ssl-df%22	https://kalvin.netlify.com/css/owl.carousel.min.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/owl.carousel.min.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:54	1003/1003	---M-Z	200	added ('OK')	text/css	etag:%22899612105b8b1c2cd3667295e9a24912-ssl-df%22	https://kalvin.netlify.com/css/owl.theme.default.min.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/owl.theme.default.min.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:55	8197/8197	---M-Z	200	added ('OK')	text/css	etag:%222cb38b8a86689d92d25d873a338ac074-ssl-df%22	https://kalvin.netlify.com/css/magnific-popup.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/magnific-popup.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:56	30135/30135	---M-Z	200	added ('OK')	text/css	etag:%22c78602507449876ed92c6174f9c5c52a-ssl-df%22	https://kalvin.netlify.com/css/style.css	/home/marvelous/websites/portfolio/kalvin.netlify.com/css/style.css	(from https://kalvin.netlify.com/index-particles3.html)
15:38:58	11234/11234	---MCZ	200	added ('OK')	text/html	etag:%22e8efc8fde9e0ee4f5399a437e6c0098a-ssl-df%22	https://kalvin.netlify.com/index.html	/home/marvelous/websites/portfolio/kalvin.netlify.com/index.html	(from https://kalvin.netlify.com/index-particles3.html)
15:39:00	78624/78624	---M--	200	added ('OK')	image/jpeg	etag:%2274ca5e0a3fe5bcc90a91d3f60b9596cb-ssl%22	https://kalvin.netlify.com/images/about-img.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/about-img.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:00	256578/256578	---M--	200	added ('OK')	image/jpeg	etag:%22be7aa533e41ef5faed10e83cf9e2327d-ssl%22	https://kalvin.netlify.com/images/background/home-banner-bg.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/background/home-banner-bg.jpg	(from https://kalvin.netlify.com/index-particles3.html)
15:39:01	16360/16360	---M--	200	added ('OK')	image/jpeg	etag:%226b1457dad1ab34db66d4054c38645dab-ssl%22	https://kalvin.netlify.com/images/portfolio/img-1.jpg	/home/marvelous/websites/portfolio/kalvin.netlify.com/images/portfolio/img-1.jpg	(from https://kalvin.netlify.com/index-particles3.html)
